Plant_Number,raw_label,soil_status,root_association,block,precip,life_stage,trt
90,90-SB5cA,S,B,5,A,S,SB5cA
91,91-LR1aD,L,R,1,D,G,LR1aD
92,92-LR1bD,L,R,1,D,G,LR1bD
93,93-LR1cD,L,R,1,D,G,LR1cD
94,94-LR2aD,L,R,2,D,G,LR2aD
95,95-LR2bD,L,R,2,D,G,LR2bD
96,96-LR2cD,L,R,2,D,G,LR2cD
97,97-LR3aD,L,R,3,D,G,LR3aD
98,98-LR3bD,L,R,3,D,G,LR3bD
99,99-LR3cD,L,R,3,D,G,LR3cD
100,100-LR4aD,L,R,4,D,G,LR4aD
101,101-LR4bD,L,R,4,D,G,LR4bD
102,102-LR4cD,L,R,4,D,G,LR4cD
103,103-LR5aD,L,R,5,D,G,LR5aD
104,104-LR5bD,L,R,5,D,G,LR5bD
105,105-LR5cD,L,R,5,D,G,LR5cD
106,106-LB1aD,L,B,1,D,G,LB1aD
107,107-LB1bD,L,B,1,D,G,LB1bD
108,108-LB1cD,L,B,1,D,G,LB1cD
109,109-LB2aD,L,B,2,D,G,LB2aD
110,110-LB2bD,L,B,2,D,G,LB2bD
111,111-LB2cD,L,B,2,D,G,LB2cD
112,112-LB3aD,L,B,3,D,G,LB3aD
113,113-LB3bD,L,B,3,D,G,LB3bD
114,114-LB3cD,L,B,3,D,G,LB3cD
115,115-LB4aD,L,B,4,D,G,LB4aD
116,116-LB4bD,L,B,4,D,G,LB4bD
117,117-LB4cD,L,B,4,D,G,LB4cD
118,118-LB5aD,L,B,5,D,G,LB5aD
119,119-LB5bD,L,B,5,D,G,LB5bD
120,120-LB5cD,L,B,5,D,G,LB5cD
121,121-SB1aD,S,B,1,D,G,SB1aD
122,122-SB1bD,S,B,1,D,G,SB1bD
123,123-SB1cD,S,B,1,D,G,SB1cD
124,124-SB2aD,S,B,2,D,G,SB2aD
125,125-SB2bD,S,B,2,D,G,SB2bD
126,126-SB2cD,S,B,2,D,G,SB2cD
127,127-SB3aD,S,B,3,D,G,SB3aD
128,128-SB3bD,S,B,3,D,G,SB3bD
129,129-SB3cD,S,B,3,D,G,SB3cD
130,130-SB4aD,S,B,4,D,G,SB4aD
131,131-SB4bD,S,B,4,D,G,SB4bD
132,132-SB4cD,S,B,4,D,G,SB4cD
133,133-SB5aD,S,B,5,D,G,SB5aD
134,134-SB5bD,S,B,5,D,G,SB5bD
135,135-SB5cD,S,B,5,D,G,SB5cD
136,136-LR1aA,L,R,1,A,G,LR1aA
137,137-LR1bA,L,R,1,A,G,LR1bA
138,138-LR1cA,L,R,1,A,G,LR1cA
139,139-LR2aA,L,R,2,A,G,LR2aA
140,140-LR2bA,L,R,2,A,G,LR2bA
141,141-LR2cA,L,R,2,A,G,LR2cA
142,142-LR3aA,L,R,3,A,G,LR3aA
143,143-LR3bA,L,R,3,A,G,LR3bA
144,144-LR3cA,L,R,3,A,G,LR3cA
145,145-LR4aA,L,R,4,A,G,LR4aA
146,146-LR4bA,L,R,4,A,G,LR4bA
147,147-LR4cA,L,R,4,A,G,LR4cA
148,148-LR5aA,L,R,5,A,G,LR5aA
149,149-LR5bA,L,R,5,A,G,LR5bA
150,150-LR5cA,L,R,5,A,G,LR5cA
151,151-LB1aA,L,B,1,A,G,LB1aA
152,152-LB1bA,L,B,1,A,G,LB1bA
153,153-LB1cA,L,B,1,A,G,LB1cA
154,154-LB2aA,L,B,2,A,G,LB2aA
155,155-LB2bA,L,B,2,A,G,LB2bA
156,156-LB2cA,L,B,2,A,G,LB2cA
157,157-LB3aA,L,B,3,A,G,LB3aA
158,158-LB3bA,L,B,3,A,G,LB3bA
159,159-LB3cA,L,B,3,A,G,LB3cA
160,160-LB4aA,L,B,4,A,G,LB4aA
161,161-LB4bA,L,B,4,A,G,LB4bA
162,162-LB4cA,L,B,4,A,G,LB4cA
163,163-LB5aA,L,B,5,A,G,LB5aA
164,164-LB5bA,L,B,5,A,G,LB5bA
165,165-LB5cA,L,B,5,A,G,LB5cA
166,166-SB1aA,S,B,1,A,G,SB1aA
167,167-SB1bA,S,B,1,A,G,SB1bA
168,168-SB1cA,S,B,1,A,G,SB1cA
169,169-SB2aA,S,B,2,A,G,SB2aA
170,170-SB2bA,S,B,2,A,G,SB2bA
171,171-SB2cA,S,B,2,A,G,SB2cA
172,172-SB3aA,S,B,3,A,G,SB3aA
173,173-SB3bA,S,B,3,A,G,SB3bA
174,174-SB3cA,S,B,3,A,G,SB3cA
175,175-SB4aA,S,B,4,A,G,SB4aA
176,176-SB4bA,S,B,4,A,G,SB4bA
177,177-SB4cA,S,B,4,A,G,SB4cA
178,178-SB5aA,S,B,5,A,G,SB5aA
179,179-SB5bA,S,B,5,A,G,SB5bA
180,180-SB5cA,S,B,5,A,G,SB5cA
