"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"OTU195"	"d:Bacteria"	"p:Proteobacteria"	"c:Deltaproteobacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU85"	"d:Bacteria"	"p:Proteobacteria"	"c:Betaproteobacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU191"	"d:Bacteria"	"p:Verrucomicrobia"	"c:Spartobacteria"	"g:Spartobacteria_genera_incertae_sedis"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU24"	"d:Bacteria"	"p:Proteobacteria"	"c:Gammaproteobacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU67"	"d:Bacteria"	"p:Bacteroidetes"	"c:Sphingobacteriia"	"o:Sphingobacteriales"	"f:Chitinophagaceae"	"UNKNOWN"	"UNKNOWN"
"OTU3430"	"d:Bacteria"	"p:Proteobacteria"	"c:Deltaproteobacteria"	"o:Desulfuromonadales"	"f:Geobacteraceae"	"g:Geobacter"	"UNKNOWN"
"OTU337"	"d:Bacteria"	"p:Bacteroidetes"	"c:Sphingobacteriia"	"o:Sphingobacteriales"	"f:Chitinophagaceae"	"g:Parafilimonas"	"UNKNOWN"
"OTU371"	"d:Bacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU1089"	"d:Bacteria"	"p:Bacteroidetes"	"c:Sphingobacteriia"	"o:Sphingobacteriales"	"f:Chitinophagaceae"	"g:Ferruginibacter"	"UNKNOWN"
"OTU87"	"d:Bacteria"	"p:Gemmatimonadetes"	"c:Gemmatimonadetes"	"o:Gemmatimonadales"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU27294"	"d:Bacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU182"	"d:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria_Gp1"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU666"	"d:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria_Gp3"	"g:Gp3"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU381"	"d:Bacteria"	"p:Bacteroidetes"	"c:Sphingobacteriia"	"o:Sphingobacteriales"	"f:Chitinophagaceae"	"g:Ferruginibacter"	"UNKNOWN"
"OTU1363"	"d:Bacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU1544"	"d:Bacteria"	"p:Planctomycetes"	"c:Planctomycetia"	"o:Planctomycetales"	"f:Planctomycetaceae"	"g:Gemmata"	"UNKNOWN"
"OTU425"	"d:Bacteria"	"p:candidate_division_WPS-1"	"g:WPS-1_genera_incertae_sedis"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU1872"	"d:Bacteria"	"p:Planctomycetes"	"c:Planctomycetia"	"o:Planctomycetales"	"f:Planctomycetaceae"	"g:Singulisphaera"	"UNKNOWN"
"OTU596"	"d:Bacteria"	"p:Proteobacteria"	"c:Deltaproteobacteria"	"o:Myxococcales"	"f:Polyangiaceae"	"UNKNOWN"	"UNKNOWN"
"OTU138"	"d:Bacteria"	"p:Proteobacteria"	"c:Betaproteobacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU3049"	"d:Bacteria"	"p:Proteobacteria"	"c:Betaproteobacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU206"	"d:Bacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU1105"	"d:Bacteria"	"p:Bacteroidetes"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU2056"	"d:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rhizobiales"	"f:Hyphomicrobiaceae"	"UNKNOWN"	"UNKNOWN"
"OTU548"	"d:Bacteria"	"p:Verrucomicrobia"	"c:Subdivision3"	"g:Subdivision3_genera_incertae_sedis"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU3122"	"d:Bacteria"	"p:Actinobacteria"	"c:Actinobacteria"	"o:Actinomycetales"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
