"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"OTU1055"	"k:Bacteria"	"p:Elusimicrobia"	"c:Elusimicrobia"	"o:Lineage_IIa"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU826"	"k:Bacteria"	"p:Actinobacteria"	"c:Thermoleophilia"	"o:Solirubrobacterales"	"f:YNPFFP1"	"UNKNOWN"	"UNKNOWN"
"OTU570"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rhodospirillales"	"f:DA111"	"UNKNOWN"	"UNKNOWN"
"OTU21951"	"k:Bacteria"	"p:Proteobacteria"	"c:TA18"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU333"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Acidobacteriales"	"f:Acidobacteriaceae_[Subgroup_1]"	"g:Telmatobacter"	"UNKNOWN"
"OTU15375"	"k:Bacteria"	"p:Proteobacteria"	"c:Betaproteobacteria"	"o:Rhodocyclales"	"f:Rhodocyclaceae"	"UNKNOWN"	"UNKNOWN"
"OTU906"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU160"	"k:Bacteria"	"p:Proteobacteria"	"c:Betaproteobacteria"	"o:SC-I-84"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU1403"	"k:Bacteria"	"p:Proteobacteria"	"c:Betaproteobacteria"	"o:Burkholderiales"	"f:Oxalobacteraceae"	"UNKNOWN"	"UNKNOWN"
"OTU244"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rhodospirillales"	"f:Acetobacteraceae"	"UNKNOWN"	"UNKNOWN"
"OTU184"	"k:Bacteria"	"p:Proteobacteria"	"c:Gammaproteobacteria"	"o:Xanthomonadales"	"f:Xanthomonadaceae"	"g:Rhodanobacter"	"UNKNOWN"
"OTU3242"	"k:Bacteria"	"p:Bacteroidetes"	"c:Cytophagia"	"o:Cytophagales"	"f:Cytophagaceae"	"UNKNOWN"	"UNKNOWN"
"OTU20479"	"k:Bacteria"	"p:Proteobacteria"	"c:Betaproteobacteria"	"o:SC-I-84"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU2023"	"k:Bacteria"	"p:Planctomycetes"	"c:Planctomycetacia"	"o:Planctomycetales"	"f:Planctomycetaceae"	"g:Planctomyces"	"UNKNOWN"
"OTU21534"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rhizobiales"	"f:Hyphomicrobiaceae"	"UNKNOWN"	"UNKNOWN"
"OTU3504"	"k:Bacteria"	"p:Bacteroidetes"	"c:Flavobacteriia"	"o:Flavobacteriales"	"f:Flavobacteriaceae"	"g:Flavobacterium"	"UNKNOWN"
"OTU99"	"k:Bacteria"	"p:Proteobacteria"	"c:Betaproteobacteria"	"o:Burkholderiales"	"f:Burkholderiaceae"	"g:Burkholderia"	"UNKNOWN"
"OTU1758"	"k:Bacteria"	"p:Planctomycetes"	"c:Planctomycetacia"	"o:Planctomycetales"	"f:Planctomycetaceae"	"g:Gemmata"	"UNKNOWN"
"OTU22066"	"k:Bacteria"	"p:Gemmatimonadetes"	"c:Gemmatimonadetes"	"o:Gemmatimonadales"	"f:Gemmatimonadaceae"	"UNKNOWN"	"UNKNOWN"
"OTU602"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Acidobacteriales"	"f:Acidobacteriaceae_[Subgroup_1]"	"UNKNOWN"	"UNKNOWN"
"OTU2646"	"k:Bacteria"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"	"UNKNOWN"
"OTU15461"	"k:Bacteria"	"p:Proteobacteria"	"c:Alphaproteobacteria"	"o:Rhizobiales"	"f:Xanthobacteraceae"	"UNKNOWN"	"UNKNOWN"
"OTU19"	"k:Bacteria"	"p:Acidobacteria"	"c:Acidobacteria"	"o:Subgroup_4"	"f:RB41"	"UNKNOWN"	"UNKNOWN"
