"MERDSSG100"	"MERDSSG103"	"MERDSSG109"	"MERDSSG10"	"MERDSSG112"	"MERDSSG115"	"MERDSSG118"	"MERDSSG124"	"MERDSSG127"	"MERDSSG130"	"MERDSSG133"	"MERDSSG139"	"MERDSSG142"	"MERDSSG145"	"MERDSSG148"	"MERDSSG14"	"MERDSSG154"	"MERDSSG157"	"MERDSSG160"	"MERDSSG163"	"MERDSSG169"	"MERDSSG172"	"MERDSSG175"	"MERDSSG178"	"MERDSSG20"	"MERDSSG23"	"MERDSSG25"	"MERDSSG30"	"MERDSSG37"	"MERDSSG39"	"MERDSSG42"	"MERDSSG44"	"MERDSSG49"	"MERDSSG4"	"MERDSSG52"	"MERDSSG55"	"MERDSSG58"	"MERDSSG64"	"MERDSSG67"	"MERDSSG6"	"MERDSSG72"	"MERDSSG73"	"MERDSSG79"	"MERDSSG84"	"MERDSSG85"	"MERDSSG89"	"MERDSSG94"	"MERDSSG97"	"MERDSSGB2"	"MERDSSGB3"	"MERDSSGB4"	"MERDSSGB5"	"MERDSSGZ2"	"MERDSSGZ3"	"MERDSSGZ4"	"MERDSSGZ5"
"OTU133"	12	13	22	25	19	16	19	3	0	0	0	58	84	4	14	0	27	16	27	30	0	0	0	0	17	13	2	12	0	0	1	0	4	6	25	23	22	36	11	26	0	6	0	0	0	0	2	26	95	58	8	29	24	72	17	55
"OTU587"	0	0	8	0	0	1	1	0	0	0	0	3	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	4	0	0	0	0	0	0	1	4	3	3	10	6	1	3
"OTU69"	104	10	33	139	33	153	66	3	0	0	0	108	72	8	13	19	22	9	40	33	0	0	0	0	31	24	17	20	0	0	0	0	30	51	26	59	21	23	14	37	12	14	0	0	0	0	22	25	52	26	59	56	43	87	107	30
"OTU25"	99	78	101	200	92	207	159	7	0	0	0	211	200	45	105	101	72	63	83	135	0	7	0	0	125	84	18	97	0	0	0	1	115	113	106	88	98	98	45	117	25	61	0	0	0	1	46	85	503	383	311	235	352	576	439	507
"OTU282"	10	7	14	28	14	9	8	0	0	0	0	7	21	9	3	6	20	17	6	4	0	0	0	0	33	13	1	12	0	0	0	0	3	9	18	4	2	15	3	7	0	0	0	0	0	0	0	9	15	9	7	17	6	29	16	11
"OTU201"	1	7	2	1	0	6	3	0	0	0	0	5	3	0	12	7	2	7	5	9	0	0	0	3	4	8	9	5	0	0	0	0	13	1	22	5	7	3	1	12	7	4	0	5	0	3	3	0	8	2	7	2	6	9	3	10
"OTU349"	21	18	33	41	39	21	22	0	0	0	0	45	51	23	9	6	33	18	21	45	0	0	0	1	71	32	2	8	0	0	0	0	22	30	38	15	15	33	17	22	15	33	0	2	0	0	11	20	48	22	12	14	16	32	33	13
"OTU5"	32	12	36	13	27	17	19	0	0	0	0	42	50	4	16	12	37	16	15	16	0	0	0	0	39	13	0	6	0	0	0	0	16	6	36	17	2	47	16	17	0	2	0	1	0	0	5	34	82	51	22	18	39	122	40	18
"OTU277"	3	0	0	1	4	0	0	0	0	0	0	4	3	0	1	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	8	4	9	0	0	0	0	0	0	1	2	25	10	1	0	10	54	8	8
"OTU684"	12	15	9	19	10	40	11	0	0	0	0	23	5	5	10	11	4	0	16	7	0	0	0	0	19	8	6	5	0	0	0	0	11	17	11	8	24	3	15	7	4	4	0	0	0	0	13	6	10	12	30	5	13	20	24	24
"OTU8"	1659	215	463	641	335	581	410	22	0	6	0	300	391	213	155	276	63	202	140	210	0	0	0	0	584	416	155	519	0	1	0	2	467	432	632	384	173	255	231	338	180	185	0	0	0	0	393	530	278	214	267	213	241	316	373	200
"OTU453"	0	7	2	2	0	2	5	0	0	0	0	0	1	0	18	0	0	0	7	3	0	0	0	0	0	2	4	0	0	0	0	0	2	0	1	0	7	0	0	0	1	0	0	0	0	0	2	0	11	7	6	7	9	21	1	12
"OTU7819"	0	0	0	1	0	0	0	0	0	0	0	1	5	0	0	0	5	3	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	2	2	3	0	1	0	3	0	0	0	0	0	0	0	6	0	2	0	0	2	4	2	2
"OTU339"	0	0	1	8	0	3	4	0	0	0	0	6	2	2	1	0	0	1	9	5	0	0	0	0	0	1	1	0	0	0	0	0	0	5	2	3	1	0	5	0	0	0	0	0	0	0	0	0	8	4	2	9	9	22	7	23
