date,Plant_Number,potweight_g,notes,observer,date_raw
6_25,129,164.5,,NEED,6/25/2018
6_25,130,163,,NEED,6/25/2018
6_25,131,174,,NEED,6/25/2018
6_25,132,165,,NEED,6/25/2018
6_25,133,149.5,,NEED,6/25/2018
6_25,134,173,,NEED,6/25/2018
6_25,135,171.5,,NEED,6/25/2018
6_25,136,155.5,,NEED,6/25/2018
6_25,137,163,,NEED,6/25/2018
6_25,138,164.5,,NEED,6/25/2018
6_25,139,198,,NEED,6/25/2018
6_25,140,194.5,,NEED,6/25/2018
6_25,141,165,,NEED,6/25/2018
6_25,142,173,,NEED,6/25/2018
6_25,143,192,,NEED,6/25/2018
6_25,144,201,,NEED,6/25/2018
6_25,145,172,,NEED,6/25/2018
6_25,146,172.5,,NEED,6/25/2018
6_25,147,171,,NEED,6/25/2018
6_25,148,157.5,,NEED,6/25/2018
6_25,149,173,,NEED,6/25/2018
6_25,150,187,,NEED,6/25/2018
6_25,151,177,,NEED,6/25/2018
6_25,152,199,,NEED,6/25/2018
6_25,153,172,,NEED,6/25/2018
6_25,154,166,,NEED,6/25/2018
6_25,155,186,,NEED,6/25/2018
6_25,156,182.5,,NEED,6/25/2018
6_25,157,181.5,,NEED,6/25/2018
6_25,158,198.5,,NEED,6/25/2018
6_25,159,185,,NEED,6/25/2018
6_25,160,163,,NEED,6/25/2018
6_25,161,181,,NEED,6/25/2018
6_25,162,188.5,,NEED,6/25/2018
6_25,163,207,,NEED,6/25/2018
6_25,164,182.5,,NEED,6/25/2018
6_25,165,195,,NEED,6/25/2018
6_25,166,196,,NEED,6/25/2018
6_25,167,175,,NEED,6/25/2018
6_25,168,176,,NEED,6/25/2018
6_25,169,182.5,,NEED,6/25/2018
6_25,170,175.5,,NEED,6/25/2018
6_25,171,184.5,,NEED,6/25/2018
6_25,172,177.5,,NEED,6/25/2018
6_25,173,174,,NEED,6/25/2018
6_25,174,194.5,,NEED,6/25/2018
6_25,175,199.5,,NEED,6/25/2018
6_25,176,191,,NEED,6/25/2018
6_25,177,185,,NEED,6/25/2018
6_25,178,183.5,,NEED,6/25/2018
6_25,179,177.5,,NEED,6/25/2018
6_25,180,170.5,,NEED,6/25/2018
7_1,1,180.5,,NEED,7/1/2018
7_1,2,176,,NEED,7/1/2018
7_1,3,176.5,,NEED,7/1/2018
7_1,4,188,,NEED,7/1/2018
7_1,5,207,,NEED,7/1/2018
7_1,6,188,,NEED,7/1/2018
7_1,7,182.5,,NEED,7/1/2018
7_1,8,186,,NEED,7/1/2018
7_1,9,192.5,,NEED,7/1/2018
7_1,10,172,,NEED,7/1/2018
7_1,11,153,,NEED,7/1/2018
7_1,12,181,,NEED,7/1/2018
7_1,13,185.5,,NEED,7/1/2018
7_1,14,187.5,,NEED,7/1/2018
7_1,15,180,,NEED,7/1/2018
7_1,16,165,,NEED,7/1/2018
7_1,17,182.5,,NEED,7/1/2018
7_1,18,173.5,,NEED,7/1/2018
7_1,19,132,,NEED,7/1/2018
7_1,20,194,,NEED,7/1/2018
7_1,21,164.5,,NEED,7/1/2018
7_1,22,152.5,,NEED,7/1/2018
7_1,23,185,,NEED,7/1/2018
7_1,24,147.5,,NEED,7/1/2018
7_1,25,162,,NEED,7/1/2018
7_1,26,178.5,,NEED,7/1/2018
7_1,27,160,,NEED,7/1/2018
7_1,28,171.5,,NEED,7/1/2018
7_1,29,173,,NEED,7/1/2018
7_1,30,185.5,,NEED,7/1/2018
7_1,31,184.5,,NEED,7/1/2018
7_1,32,188,,NEED,7/1/2018
7_1,33,182.5,,NEED,7/1/2018
7_1,34,170.5,,NEED,7/1/2018
7_1,35,172.5,,NEED,7/1/2018
7_1,36,182.5,,NEED,7/1/2018
7_1,37,186,,NEED,7/1/2018
7_1,38,173,,NEED,7/1/2018
7_1,39,176.5,,NEED,7/1/2018
7_1,40,184,,NEED,7/1/2018
7_1,41,190.5,,NEED,7/1/2018
7_1,42,157,,NEED,7/1/2018
7_1,43,183,,NEED,7/1/2018
7_1,44,179.5,,NEED,7/1/2018
7_1,45,186,,NEED,7/1/2018
7_1,46,187,,NEED,7/1/2018
7_1,47,168,,NEED,7/1/2018
7_1,48,182,,NEED,7/1/2018
7_1,49,186,,NEED,7/1/2018
7_1,50,199,,NEED,7/1/2018
7_1,51,190,,NEED,7/1/2018
7_1,52,174,,NEED,7/1/2018
7_1,53,194,,NEED,7/1/2018
7_1,54,143.5,,NEED,7/1/2018
7_1,55,190,,NEED,7/1/2018
7_1,56,194,,NEED,7/1/2018
7_1,57,203,,NEED,7/1/2018
7_1,58,177,,NEED,7/1/2018
7_1,59,188.5,,NEED,7/1/2018
7_1,60,188,,NEED,7/1/2018
7_1,61,188,,NEED,7/1/2018
7_1,62,182,,NEED,7/1/2018
7_1,63,187.5,,NEED,7/1/2018
7_1,64,178.5,,NEED,7/1/2018
7_1,65,185.5,,NEED,7/1/2018
7_1,66,167,,NEED,7/1/2018
7_1,67,180,,NEED,7/1/2018
7_1,68,180.5,,NEED,7/1/2018
7_1,69,176.5,,NEED,7/1/2018
7_1,70,185,,NEED,7/1/2018
7_1,71,194,,NEED,7/1/2018
7_1,72,175.5,,NEED,7/1/2018
7_1,73,177,,NEED,7/1/2018
7_1,74,186,,NEED,7/1/2018
7_1,75,184.5,,NEED,7/1/2018
7_1,76,202,,NEED,7/1/2018
7_1,77,187.5,,NEED,7/1/2018
7_1,78,177.5,,NEED,7/1/2018
7_1,79,187,,NEED,7/1/2018
7_1,80,172.5,,NEED,7/1/2018
7_1,81,179,,NEED,7/1/2018
