"","OTU","av_Rhizosphere","av_Bulk","pval","tax","Domain","Phylum","Class","Order","Family","Genus","Species","FDR_adj"
"618",0.0003953125,12.25,5.375,0.024,"OTU40","k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Rhizobiales","f:Hyphomicrobiaceae","g:Rhodoplanes","UNKNOWN",1
"632",0.00010625,2.375,0.625,0.047,"OTU245","k:Bacteria","p:Proteobacteria","c:Betaproteobacteria","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",1
"648",0.0003625,10.25,3,0.002,"OTU92","k:Bacteria","p:Proteobacteria","c:Gammaproteobacteria","o:Xanthomonadales","UNKNOWN","UNKNOWN","UNKNOWN",1
"662",3e-04,7.625,2.625,0.037,"OTU4544","k:Bacteria","p:Firmicutes","c:Bacilli","o:Bacillales","f:Bacillaceae","g:Bacillus","UNKNOWN",1
"665",0.000109375,2.625,0.75,0.031,"OTU821","k:Bacteria","p:Proteobacteria","c:Betaproteobacteria","o:SC-I-84","UNKNOWN","UNKNOWN","UNKNOWN",1
"677",0.00013125,2.625,0,0.026,"OTU562","k:Bacteria","p:Planctomycetes","c:Planctomycetacia","o:Planctomycetales","f:Planctomycetaceae","UNKNOWN","UNKNOWN",1
"685",0.0003796875,10.875,3.75,0.004,"OTU318","k:Bacteria","p:Nitrospirae","c:Nitrospira","o:Nitrospirales","f:0319-6A21","UNKNOWN","UNKNOWN",1
"692",0.0006375,23.625,11.75,0.007,"OTU39","k:Bacteria","p:Proteobacteria","c:Betaproteobacteria","o:Nitrosomonadales","f:Nitrosomonadaceae","UNKNOWN","UNKNOWN",1
"693",0.0004203125,15,7.875,0.033,"OTU72","k:Bacteria","p:Actinobacteria","c:Thermoleophilia","o:Solirubrobacterales","f:Patulibacteraceae","g:Patulibacter","UNKNOWN",1
"698",9.0625e-05,1.875,0.125,0.02,"OTU690","k:Bacteria","p:Bacteroidetes","c:Sphingobacteriia","o:Sphingobacteriales","f:Chitinophagaceae","g:Ferruginibacter","UNKNOWN",1
"703",0.0002171875,4.625,0.75,0.031,"OTU24490","k:Bacteria","p:Proteobacteria","c:Deltaproteobacteria","o:Myxococcales","f:Cystobacteraceae","g:Anaeromyxobacter","UNKNOWN",1
"719",0.000325,10.375,6.375,0.032,"OTU231","k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Rhizobiales","f:A0839","UNKNOWN","UNKNOWN",1
"750",9.375e-05,2,0.25,0.008,"OTU154","k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",1
"752",0.0002921875,7.625,2.625,0.007,"OTU1896","k:Bacteria","p:Actinobacteria","c:Actinobacteria","o:Micromonosporales","f:Micromonosporaceae","g:Luedemannella","UNKNOWN",1
"765",0.000259375,5.75,0.625,0.005,"OTU1296","k:Bacteria","p:Proteobacteria","c:Deltaproteobacteria","o:Myxococcales","f:Haliangiaceae","g:Haliangium","UNKNOWN",1
"791",0.00024375,0,4.875,0.007,"OTU20999","k:Bacteria","p:Proteobacteria","c:Betaproteobacteria","o:Rhodocyclales","UNKNOWN","UNKNOWN","UNKNOWN",1
"802",0.0012375,36.875,17.875,0.033,"OTU140","k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Rhizobiales","UNKNOWN","UNKNOWN","UNKNOWN",1
"833",0.000125,2.625,0.5,0.049,"OTU17054","k:Bacteria","p:Actinobacteria","c:Actinobacteria","o:Micromonosporales","f:Micromonosporaceae","g:Hamadaea","UNKNOWN",1
"844",7.5e-05,2,0.75,0.047,"OTU1024","k:Bacteria","p:Chloroflexi","c:S085","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",1
"852",9.375e-05,1.5,0.75,0.032,"OTU23067","k:Bacteria","p:Proteobacteria","c:Deltaproteobacteria","o:GR-WP33-30","UNKNOWN","UNKNOWN","UNKNOWN",1
"871",0.0003421875,1.625,7.875,0.011,"OTU582","k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Caulobacterales","f:Caulobacteraceae","g:Phenylobacterium","UNKNOWN",1
"962",0.00019375,4.25,0.5,0.008,"OTU439","k:Bacteria","p:Planctomycetes","c:Planctomycetacia","o:Planctomycetales","f:Planctomycetaceae","UNKNOWN","UNKNOWN",1
"988",9.21875e-05,1.875,0.125,0.049,"OTU1586","k:Bacteria","p:Proteobacteria","c:Deltaproteobacteria","o:Myxococcales","f:Haliangiaceae","g:Haliangium","UNKNOWN",1
"1001",8.59375e-05,1.75,0.375,0.014,"OTU559","k:Bacteria","p:Acidobacteria","c:Acidobacteria","o:Subgroup_6","UNKNOWN","UNKNOWN","UNKNOWN",1
"1002",0.000390625,8.875,2.75,0.041,"OTU121","k:Bacteria","p:Acidobacteria","c:Acidobacteria","o:Subgroup_6","UNKNOWN","UNKNOWN","UNKNOWN",1
