Plant_Number,date,Rdate,exp_days,num_germinates,volunteer_dicot,num_removed
22,6_21,6/21/2018,9,1,0,0
23,6_21,6/21/2018,9,1,0,0
24,6_21,6/21/2018,9,1,0,0
25,6_21,6/21/2018,9,1,0,0
26,6_21,6/21/2018,9,1,0,0
27,6_21,6/21/2018,9,1,0,0
28,6_21,6/21/2018,9,0,0,0
29,6_21,6/21/2018,9,0,0,0
30,6_21,6/21/2018,9,1,0,0
31,6_21,6/21/2018,9,0,0,0
32,6_21,6/21/2018,9,0,0,0
33,6_21,6/21/2018,9,0,0,0
34,6_21,6/21/2018,9,0,0,0
35,6_21,6/21/2018,9,0,0,0
36,6_21,6/21/2018,9,0,0,0
37,6_21,6/21/2018,9,1,0,0
38,6_21,6/21/2018,9,0,0,0
39,6_21,6/21/2018,9,1,0,0
40,6_21,6/21/2018,9,0,0,0
41,6_21,6/21/2018,9,0,0,0
42,6_21,6/21/2018,9,1,0,0
43,6_21,6/21/2018,9,0,0,0
44,6_21,6/21/2018,9,1,0,0
45,6_21,6/21/2018,9,0,0,0
46,6_21,6/21/2018,9,0,0,0
47,6_21,6/21/2018,9,1,0,0
48,6_21,6/21/2018,9,1,0,0
49,6_21,6/21/2018,9,1,0,0
50,6_21,6/21/2018,9,1,0,0
51,6_21,6/21/2018,9,1,0,0
52,6_21,6/21/2018,9,1,0,0
53,6_21,6/21/2018,9,0,0,0
54,6_21,6/21/2018,9,1,0,0
55,6_21,6/21/2018,9,1,0,0
56,6_21,6/21/2018,9,1,0,0
57,6_21,6/21/2018,9,1,0,0
58,6_21,6/21/2018,9,1,0,0
59,6_21,6/21/2018,9,1,0,0
60,6_21,6/21/2018,9,1,0,0
61,6_21,6/21/2018,9,0,0,0
62,6_21,6/21/2018,9,1,0,0
63,6_21,6/21/2018,9,0,0,0
64,6_21,6/21/2018,9,1,0,0
65,6_21,6/21/2018,9,1,0,0
66,6_21,6/21/2018,9,0,0,0
67,6_21,6/21/2018,9,1,0,0
68,6_21,6/21/2018,9,1,0,0
69,6_21,6/21/2018,9,1,0,0
70,6_21,6/21/2018,9,0,0,0
71,6_21,6/21/2018,9,0,0,0
72,6_21,6/21/2018,9,1,0,0
73,6_21,6/21/2018,9,1,0,0
74,6_21,6/21/2018,9,0,0,0
75,6_21,6/21/2018,9,1,0,0
76,6_21,6/21/2018,9,0,0,0
77,6_21,6/21/2018,9,0,0,0
78,6_21,6/21/2018,9,0,0,0
79,6_21,6/21/2018,9,0,0,0
80,6_21,6/21/2018,9,0,0,0
81,6_21,6/21/2018,9,0,0,0
82,6_21,6/21/2018,9,0,0,0
83,6_21,6/21/2018,9,0,0,0
84,6_21,6/21/2018,9,0,0,0
85,6_21,6/21/2018,9,1,0,0
86,6_21,6/21/2018,9,0,0,0
87,6_21,6/21/2018,9,0,0,0
88,6_21,6/21/2018,9,0,0,0
89,6_21,6/21/2018,9,0,0,0
90,6_21,6/21/2018,9,0,0,0
1,6_22,6/22/2018,10,0,0,0
2,6_22,6/22/2018,10,1,0,0
3,6_22,6/22/2018,10,0,0,0
4,6_22,6/22/2018,10,1,0,0
5,6_22,6/22/2018,10,0,0,0
6,6_22,6/22/2018,10,1,0,0
7,6_22,6/22/2018,10,0,0,0
