"","MERDSSG100","MERDSSG103","MERDSSG109","MERDSSG112","MERDSSG115","MERDSSG118","MERDSSG124","MERDSSG127","MERDSSG130","MERDSSG133","MERDSSG139","MERDSSG142","MERDSSG145","MERDSSG148","MERDSSG154","MERDSSG157","MERDSSG160","MERDSSG163","MERDSSG169","MERDSSG172","MERDSSG175","MERDSSG178","MERDSSG94","MERDSSG97"
"MERDSSG139",0.182630173983382,0.16682257722558,0.176181680727059,0.182136838412256,0.109395252767349,0.105921613305648,0.391241942142339,0.405024366105766,0.400520064991197,0.399770123929574,0,0.0838667296568294,0.215508999508904,0.138596867516928,0.157868864465938,0.227030917018811,0.170430590108241,0.136909933425982,0.363390624308591,0.365316773120925,0.373376940004765,0.379899497614876,0.248385544603116,0.25229864031689
"MERDSSG142",0.187570338657225,0.180659306472242,0.174872081375212,0.182960580739537,0.117144452452424,0.118023849796731,0.396405739925969,0.40718983379203,0.408139050240839,0.40867102017984,0.0838667296568294,0,0.220295910136784,0.14483762294353,0.148233407760767,0.230131292973878,0.166659366596434,0.144653738761001,0.361814749390814,0.368272028288086,0.378004645867059,0.381981172653959,0.247322870583401,0.252418370830082
"MERDSSG145",0.177302258503251,0.169452720668407,0.124629428642829,0.135789117741583,0.2354004570944,0.181760154711929,0.283356941866557,0.280191604535134,0.291301812095176,0.298717542980511,0.215508999508904,0.220295910136784,0,0.154212786983799,0.170064691020528,0.108159061503056,0.127170319563045,0.15510907943491,0.268159867208027,0.260962788138063,0.315442631393417,0.308449471474022,0.13353115070836,0.120829181812578
"MERDSSG148",0.172122889495542,0.118713492682832,0.136894518999171,0.135376710312241,0.162235637639353,0.116351310736704,0.34603793487352,0.346795581772118,0.358057346999991,0.362045131746941,0.138596867516928,0.14483762294353,0.154212786983799,0,0.141882893025956,0.162546001274556,0.105494635623338,0.0904189251034429,0.327810675132963,0.327876886675333,0.345848244057781,0.343378522453072,0.173732963465836,0.195698973068272
"MERDSSG154",0.17333600647039,0.169313229008657,0.146340134171418,0.165813174299611,0.183118966779618,0.152146130170518,0.335618183735574,0.340333600795881,0.342087340595564,0.348112994670638,0.157868864465938,0.148233407760767,0.170064691020528,0.141882893025956,0,0.156949508640534,0.132548455323843,0.127851509295452,0.301112250603127,0.299884425332121,0.318265871307758,0.330546363226515,0.213484098964781,0.200833591233648
"MERDSSG157",0.197833791338569,0.187682739373609,0.137515263639222,0.152991887023171,0.246774423833741,0.196264793161358,0.259879801920999,0.248839010731633,0.263432560431285,0.277096977650945,0.227030917018811,0.230131292973878,0.108159061503056,0.162546001274556,0.156949508640534,0,0.14018658339078,0.144463697906927,0.239163096559722,0.234940524607987,0.294908718571012,0.275773953915151,0.159013826476859,0.141903162238406
"MERDSSG160",0.182430163224728,0.149284937165096,0.144036175589413,0.143801126286047,0.189355297117514,0.145718644575732,0.332066499302311,0.337514218881381,0.346023066540054,0.350886217929087,0.170430590108241,0.166659366596434,0.127170319563045,0.105494635623338,0.132548455323843,0.14018658339078,0,0.0992045936796225,0.308005636187619,0.31376169876586,0.336196168239882,0.330950104203633,0.175235418045345,0.176300024758146
"MERDSSG163",0.176478483644577,0.135331664630605,0.141290748255478,0.146261575707463,0.163991997150802,0.121897856317499,0.328721960989509,0.328841399067686,0.337067070966279,0.341329847193999,0.136909933425982,0.144653738761001,0.15510907943491,0.0904189251034429,0.127851509295452,0.144463697906927,0.0992045936796225,0,0.306234625363326,0.307027676358661,0.325554376586987,0.325131427125469,0.187011411716605,0.192620240404731
"MERDSSG169",0.319854102018779,0.32823214513533,0.275158688839997,0.323232985396164,0.367063072617304,0.342819960297215,0.167222855958333,0.179016309535419,0.19819658239293,0.191236971058694,0.363390624308591,0.361814749390814,0.268159867208027,0.327810675132963,0.301112250603127,0.239163096559722,0.308005636187619,0.306234625363326,0,0.105689164154323,0.17325223688213,0.191690998608334,0.309517701350147,0.278930687728944
"MERDSSG172",0.323333415445918,0.323307716541084,0.267759386281423,0.320218993059312,0.370802993849943,0.340191879319092,0.14664023525397,0.126802709258049,0.156178462147512,0.149076900459928,0.365316773120925,0.368272028288086,0.260962788138063,0.327876886675333,0.299884425332121,0.234940524607987,0.31376169876586,0.307027676358661,0.105689164154323,0,0.207850829083489,0.174591600787646,0.293743480502647,0.26885004065354
