"","MERDSSG100","MERDSSG103","MERDSSG109","MERDSSG10","MERDSSG112","MERDSSG115","MERDSSG118","MERDSSG139","MERDSSG142","MERDSSG145","MERDSSG148","MERDSSG14","MERDSSG154","MERDSSG157","MERDSSG160","MERDSSG163","MERDSSG20","MERDSSG23","MERDSSG25","MERDSSG30","MERDSSG49","MERDSSG4","MERDSSG52","MERDSSG55","MERDSSG58","MERDSSG64","MERDSSG67","MERDSSG6","MERDSSG72","MERDSSG73","MERDSSG94","MERDSSG97"
"MERDSSG163",0.176478483644577,0.135331664630605,0.141290748255478,0.183495280026828,0.146261575707463,0.163991997150802,0.121897856317499,0.136909933425982,0.144653738761001,0.15510907943491,0.0904189251034429,0.157649203457056,0.127851509295452,0.144463697906927,0.0992045936796225,0,0.154908084581108,0.19418705761248,0.227034434409811,0.124593599680282,0.130546268196182,0.154670548287634,0.113416662294502,0.131446354227835,0.10319211361583,0.104904160939673,0.168655809349135,0.142374326688824,0.214656782240894,0.146732246227122,0.187011411716605,0.192620240404731
"MERDSSG20",0.11957585835427,0.137234575696944,0.108648665829996,0.195742615698562,0.0816577937738632,0.181561295380192,0.14606116130336,0.178584446028886,0.175996466808502,0.150874266734234,0.148858848996947,0.132381213832066,0.168167808646063,0.17091102559442,0.157367212853741,0.154908084581108,0,0.132052625990884,0.176309888328795,0.112308244459508,0.164641125198101,0.155626521597861,0.168567356573992,0.145138440910016,0.166566215138777,0.136738198143922,0.174316789356686,0.11298665336738,0.212861810429823,0.168138006976775,0.142528650741022,0.145180404489835
"MERDSSG23",0.188969102499072,0.18940314808684,0.171131445470342,0.277359254492036,0.130656658078176,0.264840364394199,0.218445793976303,0.254330169702613,0.256071814781088,0.152202434169537,0.192761108355942,0.202494648060036,0.210373283197917,0.170775821022863,0.191192239550467,0.19418705761248,0.132052625990884,0,0.111848512742742,0.172265811526097,0.222360014571376,0.239099259477322,0.225922162394578,0.21561917156646,0.221849501523331,0.201463513719415,0.162640957455299,0.16970374458872,0.177592539282078,0.182126648163574,0.0924670577360034,0.125369291393026
"MERDSSG25",0.225984170025016,0.209622617510473,0.205933468780582,0.325782806384788,0.160017083278933,0.302842395135398,0.25445653023782,0.292214196365464,0.295166303301291,0.150539259034016,0.216829210201573,0.228192561474849,0.246006769788805,0.183925786945975,0.191746394960692,0.227034434409811,0.176309888328795,0.111848512742742,0,0.201474998078707,0.262200319862049,0.284413120949742,0.252953411442585,0.247055205897054,0.254992037279991,0.237574183325149,0.180204682209482,0.208336548308525,0.158322795695839,0.201199772048609,0.108593812534504,0.116921449917498
"MERDSSG30",0.10332854409466,0.0940975226308721,0.0937589294634423,0.175696331185088,0.111402789778008,0.145755172957933,0.107770057661461,0.164637994825771,0.176488827046305,0.146565705470132,0.117372969131591,0.0964348174900194,0.153470291153872,0.152342263228381,0.134710742659112,0.124593599680282,0.112308244459508,0.172265811526097,0.201474998078707,0,0.121157112317123,0.139925020048031,0.130599946143602,0.120337041405969,0.133417182653336,0.125145770962817,0.161770540550767,0.111188553973191,0.199590180488336,0.148868271132463,0.15971588790559,0.160538486049025
"MERDSSG49",0.135451836549295,0.140891538514799,0.139266856780206,0.147130332432337,0.162969095007404,0.133876450430129,0.112870086860282,0.128703486753595,0.135978479606509,0.188610681725612,0.136741997959909,0.134891846045256,0.146148455652597,0.197013039692111,0.149205631497299,0.130546268196182,0.164641125198101,0.222360014571376,0.262200319862049,0.121157112317123,0,0.127620988455548,0.122138990471986,0.11968673626527,0.11722019235646,0.127632129731625,0.197308374760834,0.136552366031656,0.241328976362648,0.167420595363869,0.219613967006136,0.217925229197371
"MERDSSG4",0.142199044724332,0.138243070256394,0.156145520806754,0.0886729296366278,0.165202575743224,0.0841026183598893,0.0973424066163397,0.117476511523745,0.121435749346316,0.216522624061183,0.151344237681401,0.119840458890402,0.166363600463296,0.230539852782544,0.178116108101289,0.154670548287634,0.155626521597861,0.239099259477322,0.284413120949742,0.139925020048031,0.127620988455548,0,0.15377976933132,0.125172622572377,0.142968996586649,0.142717479423632,0.231443621867291,0.148945421946851,0.275851293866896,0.207052183306891,0.235405058945222,0.239753572902552
"MERDSSG52",0.172086634114874,0.150696049038795,0.136646081036798,0.172463300463058,0.159217840151135,0.156109044511626,0.128530135781582,0.144394274270235,0.138021520671723,0.181890758684229,0.135565068605209,0.153683536724514,0.126199087153077,0.174014253198202,0.13760693452694,0.113416662294502,0.168567356573992,0.225922162394578,0.252953411442585,0.130599946143602,0.122138990471986,0.15377976933132,0,0.132926935842369,0.124878232951935,0.102149000602661,0.193410259407994,0.149365553211497,0.241143985731194,0.172035328027386,0.209902135999366,0.199173891987556
"MERDSSG55",0.140160108222106,0.147722920116296,0.141794608067506,0.144357000933818,0.148194913119674,0.127416647064739,0.0973944246627281,0.136355716639394,0.138003617970126,0.171429666996874,0.135875942925685,0.130911339951797,0.161039587100297,0.191975223569326,0.143918609209337,0.131446354227835,0.145138440910016,0.21561917156646,0.247055205897054,0.120337041405969,0.11968673626527,0.125172622572377,0.132926935842369,0,0.133985367335712,0.111564893716963,0.195172255463392,0.128913030075776,0.240772223626891,0.181069896564357,0.202601799282394,0.204872697200431
"MERDSSG58",0.174851175166599,0.133285608379362,0.151930226835253,0.17406050234139,0.161464167055044,0.151086633822253,0.116496161280382,0.128181602545042,0.141279521965409,0.187798254127918,0.106509452265899,0.139906866358144,0.144831566070984,0.182519050581596,0.13791647440899,0.10319211361583,0.166566215138777,0.221849501523331,0.254992037279991,0.133417182653336,0.11722019235646,0.142968996586649,0.124878232951935,0.133985367335712,0,0.120377999598165,0.191870185697658,0.138609617473224,0.238058221013999,0.159487053221583,0.211331264933109,0.213969217313763
