"","OTU","average","av_Drought","av_Ambient","pval","Domain","Phylum","Class","Order","Family","Genus","Species","FDR_adj"
"5040","OTU810",0.00035,10.125,3.625,0.009,"k:Bacteria","p:Actinobacteria","c:Actinobacteria","o:Streptomycetales","f:Streptomycetaceae","g:Streptomyces","UNKNOWN",1
"5068","OTU82",0.00056875,5.125,15.25,0.021,"k:Bacteria","p:Bacteroidetes","c:Sphingobacteriia","o:Sphingobacteriales","f:Chitinophagaceae","g:Terrimonas","UNKNOWN",1
"5098","OTU83",0.000328125,2.375,8.125,0.03,"k:Bacteria","p:Bacteroidetes","c:Sphingobacteriia","o:Sphingobacteriales","f:AKYH767","UNKNOWN","UNKNOWN",1
"5109","OTU8349",0.0002171875,2.75,6.375,0.046,"k:Bacteria","p:Acidobacteria","c:Acidobacteria","o:Subgroup_5","UNKNOWN","UNKNOWN","UNKNOWN",1
"5138","OTU847",0.0012171875,10.875,23.25,0.009,"k:Bacteria","p:Proteobacteria","c:Deltaproteobacteria","o:Bdellovibrionales","f:Bdellovibrionaceae","g:Bdellovibrio","UNKNOWN",1
"5143","OTU851",0.00035625,9.5,3.125,0.012,"k:Bacteria","p:Actinobacteria","c:Acidimicrobiia","o:Acidimicrobiales","UNKNOWN","UNKNOWN","UNKNOWN",1
"5186","OTU87",0.000684375,19.75,7.75,0.024,"k:Bacteria","p:Gemmatimonadetes","c:Gemmatimonadetes","o:Gemmatimonadales","f:Gemmatimonadaceae","g:Gemmatimonas","UNKNOWN",1
"5217","OTU88",0.0006421875,4.75,17.125,0.006,"k:Bacteria","p:Verrucomicrobia","c:OPB35_soil_group","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",1
"5334","OTU927",0.0002625,0,5.25,0.027,"k:Bacteria","p:Proteobacteria","c:Deltaproteobacteria","o:Myxococcales","f:bacteriap25","UNKNOWN","UNKNOWN",1
"5382","OTU945",0.0003078125,0.875,6.375,0.048,"k:Bacteria","p:Cyanobacteria","c:ML635J-21","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",1
"5455","OTU977",0.00023125,2.5,7,0.003,"k:Bacteria","p:Acidobacteria","c:Acidobacteria","o:Subgroup_6","UNKNOWN","UNKNOWN","UNKNOWN",1
"5466","OTU986",0.00019375,4.875,1.25,0.008,"k:Bacteria","p:Proteobacteria","c:Alphaproteobacteria","o:Rhodospirillales","f:DA111","UNKNOWN","UNKNOWN",1
